theta	ratio	Cp
134.895583	1.087156	-0.825159
131.132820	1.341875	-0.579107
19.741142	1.322174	0.781946
108.289663	1.189203	-2.933264
158.666371	0.865911	0.256965
144.638721	0.751140	-0.878839
57.730714	1.482875	-1.105569
93.957401	0.527563	-1.332584
80.691266	0.536315	-1.355027
75.619536	1.094534	-3.008850
74.968930	1.425757	-3.533469
107.814230	1.329448	-3.102894
120.678446	0.639333	-1.538167
100.686836	1.296187	-3.790867
103.359165	1.140559	-3.182791
57.489228	0.579375	-1.385254
101.579659	1.038998	-2.963587
115.375029	1.475488	-1.965809
46.747964	0.895666	-1.289499
2.868004	1.180793	0.993868
150.124582	0.673073	-0.725835
143.079665	1.018668	-0.401659
70.927715	0.586897	-1.483028
31.244428	0.871753	-0.363689
171.656372	1.116444	0.938831
172.869699	0.634116	0.764364
16.578293	1.051082	0.715203
166.431253	1.376167	0.909768
124.723294	1.257640	-1.315179
120.091408	0.626192	-1.514667
71.895459	1.383491	-3.082389
35.441838	1.128718	-0.077927
173.922216	1.357029	0.981489
109.697703	0.854169	-2.218363
90.520958	1.366772	-4.599993
177.478736	0.920507	0.990066
152.326434	0.655244	-0.640356
1.799420	0.522840	0.969770
48.477672	0.864617	-1.417597
11.933801	0.517029	0.114777
56.051807	0.847716	-1.766577
113.338679	0.733092	-1.850347
170.949512	1.490722	0.968289
146.283928	0.900006	-0.459559
2.130782	1.002743	0.994516
82.972338	1.467058	-4.686105
104.328864	1.020061	-2.811404
84.775974	1.009782	-3.004418
7.900533	1.249259	0.960313
107.072284	0.776639	-2.051731
49.950962	1.064898	-1.234006
59.564997	0.891659	-1.937448
156.636983	1.146686	0.551089
175.147849	0.806553	0.945356
153.858236	0.719096	-0.400582
20.569105	1.293940	0.748299
12.966788	0.557096	0.139236
15.635767	1.319803	0.864564
26.874822	1.335895	0.592836
129.283897	1.134446	-1.160897
34.916460	1.453194	0.407221
154.536270	0.661726	-0.496217
18.164675	1.461434	0.860317
88.580663	0.713892	-1.936958
98.740649	0.969349	-2.799047
81.626428	1.400093	-4.317711
70.036295	1.194385	-2.795983
129.922339	0.723775	-1.492463
8.700655	1.442964	0.967934
39.232832	1.485659	0.256212
127.115756	0.552062	-1.287239
124.166268	0.919148	-1.771746
66.690572	1.278288	-2.470413
21.380076	0.813147	0.146655
89.390811	0.500006	-1.250001
110.578504	1.040296	-2.572944
28.135918	0.644181	-0.687292
42.807041	1.104364	-0.619840
40.339701	0.600528	-1.170324
95.555669	1.239809	-3.907046
86.454983	0.698684	-1.882891
36.011007	0.547864	-1.046824
85.790479	1.164718	-3.639747
138.373700	1.111022	-0.521285
69.106579	1.120723	-2.656821
60.850107	0.693638	-1.675733
72.013069	0.881072	-2.327090
126.441749	0.676145	-1.522063
139.066943	1.308806	-0.087554
22.723513	0.614864	-0.436851
79.109451	1.139379	-3.308179
171.954642	1.281766	0.961745
146.821570	1.417388	0.440293
135.729880	0.573594	-1.222985
51.593202	0.975803	-1.486739
29.600515	1.352042	0.512779
96.963867	0.767463	-2.107840
112.240590	1.386297	-2.520308
95.088628	1.155870	-3.582907
167.709034	1.081752	0.854808
73.861532	1.048411	-2.810513
