x	theta	y
0.833097	1.061342	0.736625
0.054223	2.156067	0.006339
-0.786392	2.448046	1.513902
-0.899875	1.962610	1.589273
0.645864	2.248532	0.937954
-0.173630	1.579677	0.047623
-0.250323	0.635515	0.039822
0.617093	1.788242	0.680969
0.787985	1.339270	0.831579
-0.641939	0.968237	0.398997
-0.472732	2.268942	0.507053
0.379043	2.133407	0.306514
-0.722151	1.005730	0.524489
-0.215235	0.607887	0.028161
0.937753	2.384345	2.096747
0.449916	1.186858	0.240249
-0.343537	1.891207	0.223195
0.704193	1.281422	0.635440
0.997085	1.842321	1.831597
-0.956816	0.560434	0.513076
0.166622	2.021261	0.056116
0.855327	1.433265	1.048555
-0.874397	1.672165	1.278487
-0.507597	0.896889	0.231087
0.252128	1.413276	0.089840
0.558467	2.326801	0.725695
-0.091025	0.701423	0.005812
-0.804113	0.779338	0.503918
-0.050901	1.152425	0.002986
0.897015	1.996182	1.606201
-0.582157	2.186888	0.741152
0.140703	0.534187	0.010575
0.221406	1.116809	0.054747
-0.619357	0.837982	0.321452
0.407235	2.374541	0.393795
-0.392214	1.501846	0.231031
-0.985866	1.248044	1.213015
0.096161	1.659091	0.015341
-0.318739	1.777886	0.180623
-0.555680	1.704736	0.526390
-0.038192	1.612509	0.002352
0.294336	2.079314	0.180139
-0.125742	1.461427	0.023107
0.491867	0.815758	0.197359
-0.680432	1.036459	0.479867
0.744545	0.917819	0.508790
-0.429559	1.908253	0.352112
0.340262	0.669663	0.077533
0.565084	1.352749	0.431960
0.006282	2.471771	0.000098
