ratio	K1	K2	K3	AngularFrequency
3.989137	0.044693	0.069891	0.505736	0.652813
1.792313	0.223740	0.263523	0.043779	0.325223
4.139803	0.108248	0.372105	0.196367	0.475080
2.384317	0.159292	0.425121	0.611733	0.715970
0.230848	0.361954	0.443713	0.207932	0.276379
3.443569	0.339392	0.463164	0.767988	0.864260
2.554139	0.384395	0.168025	0.115862	0.409004
3.147465	0.247304	0.017780	0.406565	0.566679
1.049981	0.080236	0.112385	0.080146	0.255005
2.228784	0.195920	0.150262	0.302520	0.517230
1.288265	0.476693	0.290370	0.933730	0.792004
4.473259	0.021910	0.481606	0.480401	0.640122
2.768510	0.451436	0.313370	0.888640	0.888099
4.837490	0.429064	0.096095	0.987304	0.939805
0.793213	0.256222	0.392473	0.658797	0.599988
3.654791	0.058022	0.215060	0.396170	0.589014
0.353564	0.304010	0.251001	0.275385	0.328399
4.620700	0.294321	0.030054	0.840651	0.844692
0.704764	0.142495	0.349699	0.589186	0.534255
1.682305	0.402184	0.182997	0.716996	0.727029
