time	Temp
0	19.112
1	19.112
2	19.112
3	19.112
4	19.115
5	19.122
6	19.136
7	19.158
8	19.19
9	19.231
10	19.281
11	19.34
12	19.407
13	19.481
14	19.562
15	19.648
16	19.741
17	19.838
18	19.939
19	20.044
20	20.152
21	20.264
22	20.378
23	20.494
24	20.612
25	20.731
26	20.852
27	20.974
28	21.097
29	21.221
30	21.346
31	21.471
32	21.596
33	21.722
34	21.848
35	21.974
36	22.1
37	22.226
38	22.352
39	22.478
40	22.603
41	22.728
42	22.853
43	22.978
44	23.102
45	23.226
46	23.35
47	23.473
48	23.595
49	23.717
50	23.839
51	23.96
52	24.081
53	24.201
54	24.32
55	24.44
56	24.558
57	24.676
58	24.794
59	24.91
60	25.027
61	25.143
62	25.258
63	25.373
64	25.487
65	25.6
66	25.713
67	25.826
68	25.938
69	26.049
70	26.16
71	26.27
72	26.38
73	26.489
74	26.598
75	26.706
76	26.813
77	26.92
78	27.027
79	27.133
80	27.238
81	27.343
82	27.447
83	27.551
84	27.654
85	27.757
86	27.859
87	27.961
88	28.062
89	28.163
90	28.263
91	28.363
92	28.462
93	28.56
94	28.659
95	28.756
96	28.853
97	28.95
98	29.046
99	29.142
100	29.237
