x	q	T0	h
0.011314	59.846	17.014	0.29729
0.038519	29.838	26.751	0.60515
0.024347	88.956	28.038	0.37872
0.04646	36.588	29.343	0.093761
0.030955	44.831	8.4804	0.88829
0.0087776	28.868	23.204	0.82837
0.01443	80.091	7.4867	0.16867
0.026366	42.163	16.728	0.35405
0.0073092	12.695	33.627	0.2471
0.033207	37.024	13.624	0.26069
0.028044	34.054	9.3602	0.4683
0.049683	25.945	23.034	0.013681
0.014841	85.133	14.788	0.56081
0.030178	23.618	25.763	0.13226
0.035474	65.109	15.778	0.20961
0.021772	82.622	34.496	0.45225
0.011724	47.203	5.1321	0.64699
0.019831	76.863	20.044	0.79038
0.0026584	61.091	24.86	0.0538
0.04338	16.458	19.112	0.62036
0.041534	54.786	21.801	0.32526
0.047323	86.652	10.118	0.92983
0.039678	57.109	18.134	0.94057
0.019232	52.917	27.597	0.72648
0.0033583	66.601	30.822	0.99839
-0.00088991	20.619	21.312	0.86205
0.051201	74.883	11.853	0.41285
0.044908	72.827	30.229	0.67963
0.034362	19.088	10.742	0.76715
0.0064364	40.625	6.1201	0.49849
0.017044	10.719	13.175	0.54121
0.023071	70.451	32.716	0.12611
0.0011862	48.987	31.535	0.73353
