x	c
0.698314	0.274936
1.875450	0.078545
2.811054	0.315816
0.654744	0.093332
2.597099	0.076072
2.070898	0.436484
2.745222	0.379357
1.584102	0.231758
1.184680	0.264950
2.199396	0.406697
0.859044	0.450320
0.408464	0.285261
2.379158	0.392385
2.559529	0.491285
0.155891	0.112518
0.548836	0.133427
2.006812	0.278876
1.759721	0.067035
2.225029	0.334455
1.640039	0.474087
2.655230	0.391483
0.979780	0.373126
1.961807	0.322690
1.274250	0.227451
0.944244	0.254818
0.814152	0.472002
2.428411	0.489951
0.219860	0.183222
0.731233	0.220038
0.024473	0.201618
0.512176	0.164551
2.916409	0.420174
2.496963	0.114993
1.838644	0.147869
1.737211	0.353858
0.335805	0.188177
0.060825	0.152971
1.374946	0.128684
1.457250	0.058608
0.444542	0.359919
1.102095	0.455364
2.158498	0.246434
2.844961	0.342148
1.231547	0.445889
1.420004	0.210377
0.243862	0.293195
1.516576	0.172297
2.949208	0.303423
2.289631	0.414990
1.066452	0.098747
